==========================PrintTree========================
0visit: 23480, value: 11745, score: 0.5227, children: 10
4            visit: 2, value: 2, score: 2.2606, children: 1
5               visit: 1, value: 1, score: 0.8326, children: 0
4            visit: 2, value: 1, score: 1.7606, children: 1
5               visit: 1, value: 0, score: 1.8326, children: 0
4            visit: 2, value: 1, score: 1.7606, children: 1
5               visit: 1, value: 0, score: 1.8326, children: 0
4            visit: 2, value: 1, score: 1.7606, children: 1
5               visit: 1, value: 0, score: 1.8326, children: 0
4            visit: 2, value: 2, score: 2.2606, children: 1
5               visit: 1, value: 1, score: 0.8326, children: 0
2      visit: 290, value: 146, score: 0.6706, children: 17
3         visit: 28, value: 11, score: 1.0571, children: 17
4            visit: 5, value: 5, score: 1.8164, children: 4
5               visit: 1, value: 1, score: 1.2686, children: 0
5               visit: 1, value: 1, score: 1.2686, children: 0
5               visit: 1, value: 1, score: 1.2686, children: 0
5               visit: 1, value: 1, score: 1.2686, children: 0
4            visit: 3, value: 2, score: 1.7206, children: 2
5               visit: 1, value: 1, score: 1.0481, children: 0
5               visit: 1, value: 0, score: 2.0481, children: 0
4            visit: 2, value: 1, score: 1.7908, children: 1
5               visit: 1, value: 1, score: 0.8326, children: 0
4            visit: 2, value: 1, score: 1.7908, children: 1
5               visit: 1, value: 0, score: 1.8326, children: 0
4            visit: 2, value: 1, score: 1.7908, children: 1
5               visit: 1, value: 0, score: 1.8326, children: 0
3         visit: 25, value: 9, score: 1.1162, children: 21
4            visit: 2, value: 1, score: 1.7686, children: 1
5               visit: 1, value: 0, score: 1.8326, children: 0
4            visit: 2, value: 1, score: 1.7686, children: 1
5               visit: 1, value: 0, score: 1.8326, children: 0
4            visit: 2, value: 1, score: 1.7686, children: 1
5               visit: 1, value: 0, score: 1.8326, children: 0
4            visit: 1, value: 0, score: 1.7941, children: 0
4            visit: 1, value: 0, score: 1.7941, children: 0
3         visit: 24, value: 10, score: 1.0694, children: 20
4            visit: 2, value: 1, score: 1.7606, children: 1
5               visit: 1, value: 0, score: 1.8326, children: 0
4            visit: 2, value: 1, score: 1.7606, children: 1
5               visit: 1, value: 0, score: 1.8326, children: 0
4            visit: 2, value: 2, score: 2.2606, children: 1
5               visit: 1, value: 1, score: 0.8326, children: 0
4            visit: 1, value: 0, score: 1.7827, children: 0
4            visit: 1, value: 0, score: 1.7827, children: 0
3         visit: 22, value: 10, score: 1.0531, children: 19
4            visit: 2, value: 2, score: 2.2432, children: 1
5               visit: 1, value: 1, score: 0.8326, children: 0
4            visit: 2, value: 2, score: 2.2432, children: 1
5               visit: 1, value: 1, score: 0.8326, children: 0
4            visit: 1, value: 0, score: 1.7581, children: 0
4            visit: 1, value: 0, score: 1.7581, children: 0
4            visit: 1, value: 0, score: 1.7581, children: 0
3         visit: 21, value: 10, score: 1.0434, children: 18
4            visit: 2, value: 2, score: 2.2338, children: 1
5               visit: 1, value: 1, score: 0.8326, children: 0
4            visit: 2, value: 2, score: 2.2338, children: 1
5               visit: 1, value: 1, score: 0.8326, children: 0
4            visit: 1, value: 0, score: 1.7449, children: 0
4            visit: 1, value: 0, score: 1.7449, children: 0
4            visit: 1, value: 1, score: 2.7449, children: 0
1   visit: 2577, value: 1283, score: 0.5646, children: 12
2      visit: 358, value: 195, score: 0.6928, children: 15
3         visit: 37, value: 17, score: 0.9392, children: 17
4            visit: 4, value: 3, score: 1.7001, children: 3
5               visit: 1, value: 1, score: 1.1774, children: 0
5               visit: 1, value: 1, score: 1.1774, children: 0
5               visit: 1, value: 0, score: 2.1774, children: 0
4            visit: 3, value: 2, score: 1.7638, children: 2
5               visit: 1, value: 1, score: 1.0481, children: 0
5               visit: 1, value: 0, score: 2.0481, children: 0
4            visit: 2, value: 1, score: 1.8437, children: 1
5               visit: 1, value: 1, score: 0.8326, children: 0
4            visit: 2, value: 1, score: 1.8437, children: 1
5               visit: 1, value: 1, score: 0.8326, children: 0
4            visit: 2, value: 1, score: 1.8437, children: 1
5               visit: 1, value: 1, score: 0.8326, children: 0
3         visit: 35, value: 16, score: 0.9528, children: 17
4            visit: 4, value: 3, score: 1.6928, children: 3
5               visit: 1, value: 1, score: 1.1774, children: 0
5               visit: 1, value: 1, score: 1.1774, children: 0
5               visit: 1, value: 0, score: 2.1774, children: 0
4            visit: 4, value: 3, score: 1.6928, children: 3
5               visit: 1, value: 1, score: 1.1774, children: 0
5               visit: 1, value: 1, score: 1.1774, children: 0
5               visit: 1, value: 0, score: 2.1774, children: 0
4            visit: 4, value: 3, score: 1.6928, children: 3
5               visit: 1, value: 1, score: 1.1774, children: 0
5               visit: 1, value: 1, score: 1.1774, children: 0
5               visit: 1, value: 0, score: 2.1774, children: 0
4            visit: 3, value: 2, score: 1.7553, children: 2
5               visit: 1, value: 1, score: 1.0481, children: 0
5               visit: 1, value: 0, score: 2.0481, children: 0
4            visit: 2, value: 1, score: 1.8333, children: 1
5               visit: 1, value: 1, score: 0.8326, children: 0
3         visit: 35, value: 16, score: 0.9528, children: 17
4            visit: 5, value: 5, score: 1.8432, children: 4
5               visit: 1, value: 1, score: 1.2686, children: 0
5               visit: 1, value: 1, score: 1.2686, children: 0
5               visit: 1, value: 1, score: 1.2686, children: 0
5               visit: 1, value: 1, score: 1.2686, children: 0
4            visit: 3, value: 2, score: 1.7553, children: 2
5               visit: 1, value: 1, score: 1.0481, children: 0
5               visit: 1, value: 0, score: 2.0481, children: 0
4            visit: 2, value: 1, score: 1.8333, children: 1
